Experimental_index,DP_Group,LA/GA,Polymer_MW,CL Ratio,Drug_Tm,Drug_Pka,Initial D/M ratio,DLC,SA-V,SE,Drug_Mw,Drug_TPSA,Drug_NHA,Drug_LogP,Time,T=0.25,T=0.5,T=1.0,Release
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,0.00,0.09,0.19,0.35,0.00
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,0.26,0.09,0.19,0.35,0.07
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,1.06,0.09,0.19,0.35,0.40
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,2.09,0.09,0.19,0.35,0.57
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,3.11,0.09,0.19,0.35,0.69
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,4.13,0.09,0.19,0.35,0.76
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,5.08,0.09,0.19,0.35,0.82
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,6.10,0.09,0.19,0.35,0.84
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,7.17,0.09,0.19,0.35,0.85
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,8.12,0.09,0.19,0.35,0.86
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,9.13,0.09,0.19,0.35,0.90
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,10.14,0.09,0.19,0.35,0.90
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,11.09,0.09,0.19,0.35,0.90
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,12.16,0.09,0.19,0.35,0.93
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,13.11,0.09,0.19,0.35,0.93
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,14.12,0.09,0.19,0.35,0.94
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,15.19,0.09,0.19,0.35,0.94
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,16.14,0.09,0.19,0.35,0.95
80,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.35,76.73,0.00,130.08,65.72,5.00,-0.80,17.34,0.09,0.19,0.35,0.97
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,0.00,0.27,0.34,0.45,0.00
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,0.19,0.27,0.34,0.45,0.49
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,2.08,0.27,0.34,0.45,0.59
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,3.10,0.27,0.34,0.45,0.65
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,4.05,0.27,0.34,0.45,0.67
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,5.13,0.27,0.34,0.45,0.70
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,6.14,0.27,0.34,0.45,0.72
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,7.09,0.27,0.34,0.45,0.73
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,8.10,0.27,0.34,0.45,0.77
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,9.12,0.27,0.34,0.45,0.78
