DP_Group,LA/GA,Polymer_MW,CL Ratio,Drug_Tm,Drug_Pka,Initial D/M ratio,DLC,SA-V,SE,Drug_Mw,Drug_TPSA,Drug_NHA,Drug_LogP,Time,Release
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.347,76.72634271,0,130.078,65.72,5,-0.7977,0.260639,0.066493
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.347,76.72634271,0,130.078,65.72,5,-0.7977,1.05983,0.402908
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.347,76.72634271,0,130.078,65.72,5,-0.7977,2.08982,0.569291
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.347,76.72634271,0,130.078,65.72,5,-0.7977,3.11353,0.685878
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.347,76.72634271,0,130.078,65.72,5,-0.7977,4.13201,0.760969
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.347,76.72634271,0,130.078,65.72,5,-0.7977,5.08481,0.815287
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.347,76.72634271,0,130.078,65.72,5,-0.7977,6.09753,0.844733
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.347,76.72634271,0,130.078,65.72,5,-0.7977,7.17071,0.853456
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.347,76.72634271,0,130.078,65.72,5,-0.7977,8.11722,0.85798
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.347,76.72634271,0,130.078,65.72,5,-0.7977,9.13099,0.895725
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.347,76.72634271,0,130.078,65.72,5,-0.7977,10.1401,0.896123
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.347,76.72634271,0,130.078,65.72,5,-0.7977,11.0871,0.904796
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.347,76.72634271,0,130.078,65.72,5,-0.7977,12.1629,0.934267
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.347,76.72634271,0,130.078,65.72,5,-0.7977,13.1078,0.926342
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.347,76.72634271,0,130.078,65.72,5,-0.7977,14.1179,0.93504
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.347,76.72634271,0,130.078,65.72,5,-0.7977,15.1911,0.943763
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.347,76.72634271,0,130.078,65.72,5,-0.7977,16.1381,0.952436
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.347,76.72634271,0,130.078,65.72,5,-0.7977,17.338,0.965358
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,0.194432,0.490448
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,2.07988,0.594587
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,3.10202,0.648905
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,4.05482,0.674226
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,5.13008,0.703672
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,6.14281,0.720644
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,7.09089,0.729342
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,8.101,0.771237
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,9.11529,0.77991
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,10.0623,0.796907
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,11.0735,0.830527
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,12.1498,0.830901
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,13.0958,0.856198
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,14.108,0.869095
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,15.2448,0.881918
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,16.1923,0.928012
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,17.3333,0.969806
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,18.0953,1.00345
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.319,92.16589862,0,130.078,65.72,5,-0.7977,19.2347,1.00345
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.268,117.8781925,0,130.078,65.72,5,-0.7977,0.325275,0.0789667
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.268,117.8781925,0,130.078,65.72,5,-0.7977,1.04256,0.265972
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.268,117.8781925,0,130.078,65.72,5,-0.7977,7.07676,0.608606
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.268,117.8781925,0,130.078,65.72,5,-0.7977,8.08844,0.629752
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.268,117.8781925,0,130.078,65.72,5,-0.7977,9.03966,0.671622
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.268,117.8781925,0,130.078,65.72,5,-0.7977,10.1139,0.688644
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.268,117.8781925,0,130.078,65.72,5,-0.7977,12.0757,0.743361
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.268,117.8781925,0,130.078,65.72,5,-0.7977,16.1214,0.819649
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.268,117.8781925,0,130.078,65.72,5,-0.7977,17.2603,0.849145
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.268,117.8781925,0,130.078,65.72,5,-0.7977,18.1474,0.88269
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.268,117.8781925,0,130.078,65.72,5,-0.7977,19.2258,0.932909
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.268,117.8781925,0,130.078,65.72,5,-0.7977,20.1139,0.974754
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.268,117.8781925,0,130.078,65.72,5,-0.7977,21.1267,1.0042
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,0.196002,0.0540194
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,0.332602,0.137061
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,1.10928,0.295044
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,2.0736,0.440653
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,3.1541,0.50747
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,4.10637,0.557639
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,4.99191,0.578736
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,6.06927,0.620656
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,7.07885,0.625204
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,8.09053,0.646351
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,9.04333,0.700669
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,10.1175,0.717691
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,11.0683,0.755411
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,12.0784,0.764109
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,13.09,0.785256
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,14.1653,0.810577
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,15.1759,0.823425
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,16.062,0.848671
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,17.265,0.886491
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,18.0874,0.907563
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,19.1664,0.961931
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,20.0545,1.00378
5-FU-PLGA,1,104000,0,282.5,7.76,0.8,0.24,152.6717557,0,130.078,65.72,5,-0.7977,21.0646,1.01247
5-FU-PLGA,1,104000,0,282.5,8.02,0.8,0.176,210.5263158,0,130.078,65.72,5,-0.7977,0.128346,0.0290964
5-FU-PLGA,1,104000,0,282.5,8.02,0.8,0.176,210.5263158,0,130.078,65.72,5,-0.7977,0.261686,0.0747922
5-FU-PLGA,1,104000,0,282.5,8.02,0.8,0.176,210.5263158,0,130.078,65.72,5,-0.7977,0.391482,0.103889
5-FU-PLGA,1,104000,0,282.5,8.02,0.8,0.176,210.5263158,0,130.078,65.72,5,-0.7977,1.16502,0.236975
5-FU-PLGA,1,104000,0,282.5,8.02,0.8,0.176,210.5263158,0,130.078,65.72,5,-0.7977,2.12724,0.365986
5-FU-PLGA,1,104000,0,282.5,8.02,0.8,0.176,210.5263158,0,130.078,65.72,5,-0.7977,3.14415,0.428628
5-FU-PLGA,1,104000,0,282.5,8.02,0.8,0.176,210.5263158,0,130.078,65.72,5,-0.7977,3.96768,0.457999
5-FU-PLGA,1,104000,0,282.5,8.02,0.8,0.176,210.5263158,0,130.078,65.72,5,-0.7977,5.04451,0.495769
5-FU-PLGA,1,104000,0,282.5,8.02,0.8,0.176,210.5263158,0,130.078,65.72,5,-0.7977,6.12396,0.554287
